STT,Store Code,Store Name,Address,Region,Province,District,Latlong,,
109,237,TNG - 662 Pham Van Dong,"662 - 664 Phạm Văn Đồng, phường Ba Hàng. TX. Phổ Yên, tỉnh Thái Nguyên",North,Thai Nguyen,Pho Yen,"21.4184275, 105.8702578",,
110,238,HCM - 972-974-976 Nguyen Van Qua,"972-974-976 Nguyễn Văn Quá, phường Đông Hưng Thuận, quận 12, TPHCM",HCM,Ho Chi Minh,Quan 12,"10.8537782, 106.6381099",,
111,239,CTO - 8A CMT8,"8A Đường CMT8, Phường An Thới, Quận Bình Thủy, TP.Cần Thơ",Mekong2,Can Tho,Binh Thuy,"10.060738, 105.7645014",,
112,240,TGI - 364-365 Nguyen Hue,"364-365 Nguyễn Huệ, KP 3, P.2, TX. Gò Công, Tiền Giang",Mekong1,Tien Giang,Go Cong,"10.3645799, 106.6781219",,
113,242,DON - DT 768,"DT768, ấp 1, xã Thạnh Phú, huyện Vĩnh Cửu, tỉnh Đồng Nai.",SouthEast2,Dong Nai,Vinh Cuu,"11.0066401, 106.8408898",,
114,243,AGI - 200 Tinh Lo 942,"Số 200 Đường Tỉnh Lộ 942, Thị trấn Mỹ Luông, Huyện Chợ Mới, Tỉnh An Giang",Mekong2,An Giang,Cho Moi,"10.5084846, 105.4869198",,
115,244,BDU - DT 741,"DT741, khu phố Phú Nghị. Hòa Lợi, Thị Xã Bến Cát, Bình Dương",SouthEast2,Binh Duong,Ben Cat,"11.0755503, 106.6666944",,
116,246,BDU - E3/1 KP Binh Thuan 2,"E3/1 Kp Bình Thuận 2, KDC Thuận Giao,Thành phố Thuận An, Bình Dương",SouthEast2,Binh Duong,Thuan An,"10.9366977, 106.7097356",,
117,247,HCM - 655 Le Van Viet,"655 Lê Văn Việt, Khu Phố 6, P.Tân Phú, Q.9, TPHCM.",HCM,Ho Chi Minh,Thu Duc,"10.8498357, 106.8115003",,
118,249,CMA - 288 Quoc Lo 1A,"Số 288 đường QL1A, Thị trấn Cái Nước, Huyện Cái Nước , Tỉnh Cà Mau",Mekong2,Ca Mau,Cai Nuoc,"8.943645799999999, 105.0108622",,
119,250,BLI - 160-162 Quoc Lo 1A,"160-162 , Đường QL1A , Phường Hộ Phòng , TX Giá Rai , Tỉnh Bạc Liêu",Mekong2,Bac Lieu,Gia Rai,"9.2280534, 105.4194036",,
120,251,STR - 31-33 Hai Ba Trung,"31-33 , đường Hai Bà Trưng, phường 1 , thành phố Sóc Trăng, tỉnh Sóc Trăng.",Mekong2,Soc Trang,Soc Trang,"9.6035916, 105.9741877",,
121,252,BDI - 9 Vo Nguyen Giap,"Cửa hàng số 9 Võ Nguyên Giáp, P. Đống Đa, Tp. Quy Nhơn, Bình Định",Central2,Binh Dinh,Qui Nhon,"13.7834319, 109.2194984",,
122,254,NTH - 602-604-606 Duong 21/8,"602-604-606 đường 21/8 TP Phan Rang, Tháp Chàm, Tỉnh Ninh Thuận.",Central1,Ninh Thuan,Thap Cham,"11.6017452, 108.9464857",,
123,255,BDU - 27/20A Nguyen Trai,"27/20A Nguyễn Trãi, Kp Thống Nhất 1, P Dĩ An, Thành phố Dĩ An, Bình Dương.",SouthEast2,Binh Duong,Di An,"10.9033306, 106.7515723",,
124,256,HCM - 311A Thoai Ngoc Hau,"311A Thoại Ngọc Hầu, P. Tân Hiệp, Tân Phú, TPHCM",HCM,Ho Chi Minh,Tan Phu,"10.7769339, 106.6279586",,
